guide_id,guide_type,title,estimated_time,risk_level,notes,json_path,difficulty,source_type
GUIDE-001,procedure,機械キーの取り出し方,1min,low,スマートキーに内蔵されている機械キーの取り出し方を説明します,guide_content/GUIDE-001_content.json,easy,xml_based
GUIDE-002,information,機械キーの場所・保管方法,1min,low,機械キーの保管場所と推奨管理方法を説明します,guide_content/GUIDE-002_content.json,easy,xml_based
GUIDE-003,checklist,事前準備物,2min,low,電池交換に必要な準備物のチェックリスト,guide_content/GUIDE-003_content.json,easy,xml_based
GUIDE-004,link_collection,電池購入方法,5min,low,CR2450電池の購入方法（オンライン・実店舗・API連携）,guide_content/GUIDE-004_content.json,easy,system_generated
GUIDE-005,procedure,電池交換手順,5min,low,部品破損のおそれがあるため慎重に作業してください,guide_content/GUIDE-005_content.json,medium,xml_based
GUIDE-006,contact_service,販売店予約・連絡先,3min,low,販売店の予約方法・連絡先・営業時間（API連携）,guide_content/GUIDE-006_content.json,easy,system_generated
GUIDE-007,procedure,ジャンプスタート手順,15min,medium,バッテリー上がり時のジャンプスタート手順（安全警告付き）,guide_content/GUIDE-007_content.json,medium,xml_based
GUIDE-008,troubleshooting,電波干渉時の対応,3min,low,電波干渉の原因と対処法（キーを車体に近づける等）,guide_content/GUIDE-008_content.json,easy,xml_based
GUIDE-009,procedure,キー修理・交換手続き,10min,low,スマートキーの修理・交換手続きと費用目安,guide_content/GUIDE-009_content.json,easy,xml_based
GUIDE-010,troubleshooting,ドアロック故障時の対応,10min,medium,ドアロック故障の症状分類とトラブルシューティング,guide_content/GUIDE-010_content.json,medium,xml_based
GUIDE-011,contact_service,ロードサービス連絡先・依頼方法,5min,low,24時間対応のロードサービス連絡先と依頼手順,guide_content/GUIDE-011_content.json,easy,xml_based
GUIDE-012,contact_service,販売店連絡先・営業時間,3min,low,販売店検索方法・サービスカテゴリ・営業時間（API連携）,guide_content/GUIDE-012_content.json,easy,system_generated
GUIDE-013,information,予防策・定期点検の案内,5min,low,日常点検・定期メンテナンス・季節別ケアの案内,guide_content/GUIDE-013_content.json,easy,xml_based
